x,y,area,timepoint,image
26.0,173.0,35.0,0h,0.png
59.391304347826086,228.31159420289856,276.0,0h,0.png
59.26086956521739,353.0,207.0,0h,0.png
58.9612676056338,228.94366197183098,284.0,24h,24.png
59.5024154589372,353.52657004830917,207.0,24h,24.png
94.84345186470078,210.66131830008672,2306.0,48h,48.png
66.28571428571429,178.28571428571428,35.0,48h,48.png
67.95038167938931,225.84351145038167,262.0,48h,48.png
42.857142857142854,224.21904761904761,105.0,48h,48.png
67.26997245179064,255.20844811753904,1089.0,48h,48.png
46.516129032258064,236.67741935483872,31.0,48h,48.png
68.87046632124353,351.42487046632124,193.0,48h,48.png
51.516666666666666,228.84333333333333,1200.0,72h,72.png
53.03085824493732,353.79459980713597,1037.0,72h,72.png
88.24512195121952,243.18536585365854,820.0,84h,84.png
73.65454545454546,260.03636363636366,110.0,84h,84.png
101.96875,260.96875,32.0,84h,84.png
40.22727272727273,278.09090909090907,44.0,84h,84.png
81.12765957446808,279.468085106383,47.0,84h,84.png
106.54285714285714,283.1142857142857,35.0,84h,84.png
58.20041109969168,364.5073655361425,2919.0,84h,84.png
35.67765567765568,182.74725274725276,273.0,96h,96.png
86.46875,179.375,32.0,96h,96.png
96.45161290322581,183.2258064516129,31.0,96h,96.png
68.03125,191.59375,96.0,96h,96.png
88.4578313253012,191.83132530120483,83.0,96h,96.png
51.83018867924528,194.45283018867926,53.0,96h,96.png
77.21428571428571,195.3,70.0,96h,96.png
100.63157894736842,195.28947368421052,38.0,96h,96.png
48.654299806991204,233.7042676388591,4663.0,96h,96.png
104.3855421686747,209.48192771084337,83.0,96h,96.png
111.0701754385965,225.21052631578948,57.0,96h,96.png
105.09333333333333,245.54222222222222,225.0,96h,96.png
115.0,260.1764705882353,34.0,96h,96.png
42.74013921113689,270.75174013921117,431.0,96h,96.png
86.6382252559727,273.70989761092153,293.0,96h,96.png
105.02083333333333,276.25,48.0,96h,96.png
22.02777777777778,279.52777777777777,36.0,96h,96.png
49.6113125453227,360.14986705342034,4137.0,96h,96.png
